"FID","Especies","decimalLat","decimalLon","Profundidad","Estrato","temperatura","salinidad","oxigeno","pH","sedimento","COP","hexagono","idleft","idtop","idright","idbottom","idX_centro","idy_centro","hexagonos_tocados_por_transectos_id","Transecto"
1,"Abra californica",23.991667,-113.198333,3499.5,"Batial inferior",1.370772892,34.67752456,117.881712,7.717456241,"Clay",0.11580994,1494,-113.7673872,24.25,-113.1900369,23.75,-113,24,NA,""
3,"Abra californica",23.9917,-113.198,3562,"Abisal superior",1.370981758,34.67751541,117.8790231,7.717459025,"Clay",0.11580994,1494,-113.7673872,24.25,-113.1900369,23.75,-113,24,NA,""
58,"Abyssotrophon panamensis",7.0917,-79.6667,2323,"Batial inferior",2.001359925,34.68840535,88.48729675,7.716959357,"Clay",0.263714939,7612,-79.99239644,7.25,-79.41504617,6.75,-80,7,NA,""
77,"Acanthais triangularis",0,-90.5,2009,"Batial inferior",2.274147749,34.63698196,67.48370361,7.664757252,"Calcareous ooze",NA,5676,-90.81771399,0.5,-90.24036372,0,-91,0,NA,""
77,"Acanthais triangularis",0,-90.5,2009,"Batial inferior",2.274147749,34.63698196,67.48370361,7.664757252,"Calcareous ooze",NA,5676,-90.81771399,0.5,-90.24036372,0,-91,0,NA,""
77,"Acanthais triangularis",0,-90.5,2009,"Batial inferior",2.274147749,34.63698196,67.48370361,7.664757252,"Calcareous ooze",NA,5677,-90.81771399,0,-90.24036372,-0.5,-91,0,NA,""
77,"Acanthais triangularis",0,-90.5,2009,"Batial inferior",2.274147749,34.63698196,67.48370361,7.664757252,"Calcareous ooze",NA,5677,-90.81771399,0,-90.24036372,-0.5,-91,0,NA,""
84,"Acanthochitona exquisita",26.77504,-110.56641,1403,"Batial  medio",3.649422093,34.56824171,8.95419516,7.559362065,"Siliceous mud",0.862160563,2035,-110.7362983,27,-110.158948,26.5,-110,27,NA,""
105,"Acar gradata",23.375,-109.3908333,469,"Batial superior",4.644612074,34.5273056,57.44594383,7.6516366,"Clay",0.278935343,2198,-109.8702729,23.5,-109.2929226,23,-110,23,2198,"Golfo_Boca"
106,"Acar gradata",5.635537624,-77.37054443,299,"Batial superior",21.29035817,33.54434227,NA,NA,NA,NA,8005,-77.82733293,6,-77.24998266,5.5,-78,6,NA,""
